,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
7,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
12,10/3/2018,twitter,(b2c)(l-all)(r-swe)(keywords),dd6-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
13,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,New York,Non-Core,,1,0,1,0,0
19,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,,London,Non-Core,,1,0,0,0,0
31,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
900,10/26/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
1598,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static4%),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
80,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,Data Analytics,Boston,Non-Core,,1,0,1,0,0
83,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Data Analytics,Boston,Non-Core,,1,0,1,0,0
2236,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Project Management,New York,Non-Core,,1,0,1,1,0
96,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
4829,10/26/2018,facebook,(b2c)(sea)(r-all)(conversion-us-coreqob_static),sea,Project Management,Seattle,Non-Core,,5,0,1,1,0
124,10/9/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,3,0,0,0,0
5829,10/26/2018,facebook,(b2c)(nyc)(r-all)(conversion-us-coreqob_static),nyc-all,Design,New York,Non-Core,,1,0,1,1,0
135,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,,New York,Non-Core,,2,0,0,0,0
136,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Data Analytics,Boston,Non-Core,,1,0,0,0,0
141,10/26/2018,facebook,(b2c)(sf)(r-all)(conversion-us-coreqob_static),sf-all,Information Technology (IT),SF Bay Area,Non-Core,,2,0,0,0,0
